Reporter Identifier	VALUE
DAP1_2192	10.88
DAP1_2195	8.23
DAP1_2198	11.31
DAP1_2202	9.75
DAP1_2204	10.78
DAP1_2205	8.48
DAP1_2208	8.6
DAP1_2209	13.17
DAP1_2215	13.77
DAP1_2216	9.27
DAP1_2222	10.64
DAP1_2225	9.93
DAP1_2230	11.01
DAP1_2232	12.05
DAP1_2236	14.01
DAP1_2247	10.05
DAP1_2249	14.43
DAP1_2252	12.6
DAP1_2254	8.82
DAP1_2256	8.29
DAP1_2257	13.3
DAP1_2259	11.37
DAP1_2261	12.78
DAP1_2265	13
DAP1_2271	11.82
DAP1_2277	8.71
DAP1_2281	11.61
DAP1_2291	10.56
DAP1_2296	12.05
DAP1_2297	12.38
DAP1_2298	8.09
DAP1_2304	13.93
DAP1_2305	9.08
DAP1_2308	12.95
DAP1_2311	9.36
DAP1_2312	12.11
DAP1_2316	9.56
DAP1_2318	9.07
DAP1_2320	12.62
DAP1_2321	9.66
DAP1_2322	10.61
DAP1_2324	8.14
DAP1_2326	9.53
DAP1_2327	12.76
DAP1_2328	8.95
DAP1_2329	8.35
DAP1_2330	8.41
DAP1_2331	13.84
DAP1_2342	8.81
DAP1_2347	8.48
DAP1_2350	11.1
DAP1_2352	11.28
DAP1_2354	12.62
DAP1_2356	12.74
DAP1_2358	11.51
DAP1_2360	11.63
DAP1_2361	11.67
DAP1_2363	11.85
DAP1_2369	12.44
DAP1_2370	13.37
DAP1_2373	13.24
DAP1_2375	9.22
DAP1_2383	12.33
DAP1_2390	9.93
DAP1_2394	10.47
DAP1_2398	12.26
DAP1_2401	8.05
DAP1_2402	11.91
DAP1_2403	11.36
DAP1_2404	8.15
DAP1_2406	12.28
DAP1_2409	10.87
DAP1_2413	12.09
DAP1_2415	12.13
DAP1_2416	10.58
DAP1_2418	11.4
DAP1_2420	12.87
DAP1_2421	12.8
DAP1_2424	9.61
DAP1_2425	13.03
DAP1_2430	8.43
DAP1_2431	10.09
DAP1_2432	9.33
DAP1_2434	12.57
DAP1_2436	12.82
DAP1_2439	11.95
DAP1_2440	12.27
DAP1_2442	12.34
DAP1_2450	12.48
DAP1_2458	10.41
DAP1_2459	12.13
DAP1_2461	11.97
DAP1_2485	13.33
DAP1_2501	12
DAP1_2534	11.3
DAP1_2536	10.64
DAP1_2555	9.92
DAP1_2584	13.39
DAP1_2612	12.47
DAP1_2619	8.54
DAP1_2630	11.38
DAP1_2632	12.29
DAP1_2651	9.08
DAP1_2658	10.15
DAP1_2661	9.63
DAP1_2680	12.62
DAP1_2692	9.6
DAP1_2693	13.09
DAP1_2698	10.21
DAP1_2705	12.26
DAP1_2706	11.82
DAP1_2707	10.68
DAP1_2708	13.39
DAP1_2715	9.6
DAP1_2717	8.86
DAP1_2721	9.23
DAP1_2723	11.86
DAP1_2728	9.01
DAP1_2729	11.6
DAP1_2732	8.13
DAP1_2733	12.71
DAP1_2738	12.27
DAP1_2739	8.53
DAP1_2741	13.43
DAP1_2748	8.7
DAP1_2749	11.13
DAP1_2753	9.87
DAP1_2755	11.51
DAP1_2760	8.47
DAP1_2768	13.21
DAP1_2776	13.73
DAP1_2787	12.79
DAP1_2788	13.15
DAP1_2789	12.97
DAP1_2791	8.76
DAP1_2794	12.49
DAP1_2795	12.15
DAP1_2797	8.29
DAP1_2798	11.7
DAP1_2799	13.42
DAP1_2802	8.31
DAP1_2803	12.65
DAP1_2804	9.65
DAP1_2807	9.97
DAP1_2808	9.61
DAP1_2810	9.18
DAP1_2811	8.56
DAP1_2813	11.32
DAP1_2816	9.51
DAP1_2818	12.44
DAP1_2820	11.31
DAP1_2822	12.28
DAP1_2827	8.91
DAP1_2828	10.57
DAP1_2829	8.8
DAP1_2831	9.28
DAP1_2833	12.97
DAP1_2834	11.72
DAP1_2838	11.24
DAP1_2840	12.65
DAP1_2843	11.46
DAP1_2853	12.55
DAP1_2854	11.24
DAP1_2856	8.67
DAP1_2857	10.14
DAP1_2861	10.17
DAP1_2862	12.68
DAP1_2863	9.74
DAP1_2867	9.48
DAP1_2868	8.86
DAP1_2871	8.23
DAP1_2879	10.2
DAP1_2882	12.76
DAP1_2883	11.27
DAP1_2885	12.24
DAP1_2890	12.65
DAP1_2892	11.79
DAP1_2893	9.04
DAP1_2895	10.2
DAP1_2896	11.34
DAP1_2898	13.76
DAP1_2901	12.03
DAP1_2902	12.81
DAP1_2903	8.57
DAP1_2906	10.01
DAP1_2907	11.66
DAP1_2910	13.06
DAP1_2913	8.28
DAP1_2915	13.12
DAP1_2916	9.14
DAP1_2926	11.6
DAP1_2927	12.99
DAP1_2930	8.95
DAP1_2932	9.48
DAP1_2934	11.72
DAP1_2939	8.64
DAP1_2941	11.67
DAP1_2943	8.88
DAP1_2951	12.18
DAP1_2952	11.59
DAP1_2954	12.62
DAP1_2960	10.54
DAP1_2962	13.36
DAP1_2964	12.68
DAP1_2966	11.7
DAP1_2968	12.27
DAP1_2976	9.37
DAP1_2983	9.96
DAP1_2985	8.81
DAP1_2986	11.69
DAP1_2988	8.01
DAP1_2989	12.05
DAP1_2990	13.4
DAP1_2991	11.08
DAP1_2994	10.48
DAP1_2995	12.27
DAP1_2999	8.82
DAP1_3001	12.43
DAP1_3002	9.4
DAP1_3007	8.69
DAP1_3011	8.99
DAP1_3014	10.47
DAP1_3019	8.43
DAP1_3022	10.83
DAP1_3027	12.71
DAP1_3028	11.28
DAP1_3030	10
DAP1_3031	8.31
DAP1_3038	12.4
DAP1_3039	11.87
DAP1_3041	9.5
DAP1_3042	13.23
DAP1_3043	11.13
DAP1_3045	12.04
DAP1_3049	8.9
DAP1_3050	8.68
DAP1_3051	8.92
DAP1_3055	8.86
DAP1_3056	12.57
DAP1_3057	9.41
DAP1_3060	11.76
DAP1_3063	12.14
DAP1_3066	11.06
DAP1_3069	13.14
DAP1_3072	10.08
DAP1_3075	9.98
DAP1_3077	9.15
DAP1_3083	11.06
DAP1_3085	12.23
DAP1_3087	12.26
DAP1_3089	9.48
DAP1_3091	12.22
DAP1_3092	10.9
DAP1_3096	10.71
DAP1_3099	8.91
DAP1_3101	12.89
DAP1_3103	8.3
DAP1_3105	11.59
DAP1_3111	11.85
DAP1_3115	9.53
DAP1_3125	12.63
DAP1_3126	10.33
DAP1_3132	11.12
DAP1_3136	12.2
DAP1_3141	9.93
DAP1_3144	11.3
DAP1_3145	12.75
DAP1_3150	11.82
DAP1_3153	8.19
DAP1_3155	12.31
DAP1_3156	8.98
DAP1_3157	12.1
DAP1_3158	9.48
DAP1_3160	8.54
DAP1_3171	11.21
DAP1_3183	10.19
DAP1_3191	12.2
DAP1_3207	8.97
DAP1_3222	11.49
DAP1_3237	12.19
DAP1_3239	10.41
DAP1_3245	12.62
DAP1_3253	10.77
DAP1_3262	13.76
DAP1_3279	12.04
DAP1_3280	10.04
DAP1_3283	8.44
DAP1_3284	11.98
DAP1_3285	12.2
DAP1_3290	12.23
DAP1_3293	12.21
DAP1_3294	11.32
DAP1_3295	11.87
DAP1_3299	13.23
DAP1_3303	8.48
DAP1_3305	9.46
DAP1_3314	12.15
DAP1_3315	12.22
DAP1_3318	10.8
DAP1_3324	11.59
DAP1_3330	8.77
DAP1_3338	11.24
DAP1_3340	12.3
DAP1_3346	8.39
DAP1_3347	9.27
DAP1_3348	9.91
DAP1_3349	11.89
DAP1_3354	12.71
DAP1_3363	9.24
DAP1_3366	10.85
DAP1_3370	8.28
DAP1_3375	9.19
DAP1_3377	8.61
DAP1_3380	11.28
DAP1_3381	8.48
DAP1_3392	10.18
DAP1_3393	10.4
DAP1_3397	10.42
DAP1_3398	10.9
DAP1_3399	11.55
DAP1_3420	8.99
DAP1_3429	11.47
DAP1_3435	13.81
DAP1_3440	10.03
DAP1_3448	10.07
DAP1_3450	9.57
DAP1_3453	11.4
DAP1_3461	14.15
DAP1_3463	10.04
DAP1_3465	13.62
DAP1_3468	11.57
DAP1_3470	13.54
DAP1_3478	11.76
DAP1_3479	12.71
DAP1_3481	12.79
DAP1_3482	12.07
DAP1_3484	10.38
DAP1_3487	11.7
DAP1_3489	9.03
DAP1_3493	9.6
DAP1_3495	11.11
DAP1_3497	9.71
DAP1_3498	12.81
DAP1_3500	9.13
DAP1_3501	9.41
DAP1_3503	9.41
DAP1_3510	10.15
DAP1_3515	10.01
DAP1_3517	11.54
DAP1_3518	12.69
DAP1_3520	9.44
DAP1_3523	11.38
DAP1_3526	10.99
DAP1_3533	10.42
DAP1_3534	11.45
DAP1_3536	13.15
DAP1_3539	8.64
DAP1_3541	9.01
DAP1_3561	12.98
DAP1_3562	10.21
DAP1_3569	8.91
DAP1_3574	9.61
DAP1_3582	10.18
DAP1_3588	12.49
DAP1_3592	12.34
DAP1_3606	13.69
DAP1_3608	11.39
DAP1_3619	8.23
DAP1_3624	10.12
DAP1_3625	11.6
DAP1_3630	10.85
DAP1_3632	8.65
DAP1_3633	12.39
DAP1_3640	13.77
DAP1_3648	11.59
DAP1_3670	12.62
DAP1_3676	11.62
DAP1_3677	11.32
DAP1_3686	8.69
DAP1_3690	10.01
DAP1_3693	11.82
DAP1_3694	11.64
DAP1_3695	8.65
DAP1_3697	12.61
DAP1_3704	9.16
DAP1_3706	12.82
DAP1_3709	9.64
DAP1_3711	9.04
DAP1_3712	8.01
DAP1_3718	10.59
DAP1_3722	13.74
DAP1_3725	13.03
DAP1_3726	13.75
DAP1_3730	12.48
DAP1_3734	9.94
DAP1_3736	11.06
DAP1_3737	11.73
DAP1_3740	9.92
DAP1_3741	9.95
DAP1_3746	9.84
DAP1_3752	9.95
DAP1_3777	12.66
DAP1_3778	11.95
DAP1_3780	8.58
DAP1_3783	11.71
DAP1_3789	10.2
DAP1_3790	10.58
DAP1_3800	8.97
DAP1_3804	9.22
DAP1_3805	9.26
DAP1_3810	12.01
DAP1_3811	11.22
DAP1_3814	12.42
DAP1_3824	8.32
DAP1_3826	13.29
DAP1_3828	12.28
DAP1_3833	12.29
DAP1_3840	11.13
DAP1_3841	11.66
DAP1_3842	11.62
DAP1_3846	11.63
DAP1_3856	11.87
DAP1_3857	12.28
DAP1_3858	10.91
DAP1_3860	11.24
DAP1_3865	9.95
DAP1_3868	11.68
DAP1_3870	12.75
DAP1_3871	9.92
DAP1_3877	9.31
DAP1_3878	10.98
DAP1_3879	12.5
DAP1_3881	11.36
DAP1_3887	8.55
DAP1_3888	12.2
DAP1_3893	12.49
DAP1_3894	13.23
DAP1_3896	12.34
DAP1_3901	11.27
DAP1_3906	11.74
DAP1_3908	9.27
DAP1_3909	9.82
DAP1_3910	8.33
DAP1_3913	13.34
DAP1_3914	12.12
DAP1_3919	11.01
DAP1_3920	11.91
DAP1_3922	10.27
DAP1_3923	12.55
DAP1_3924	11.48
DAP1_3926	8.63
DAP1_3927	12.39
DAP1_3929	13.19
DAP1_3930	12.36
DAP1_3931	13.06
DAP1_3933	10.22
DAP1_3934	9
DAP1_3936	11.91
DAP1_3937	10.1
DAP1_3938	11.32
DAP1_3941	11.98
DAP1_3942	13.49
DAP1_3947	13.17
DAP1_3958	10.06
DAP1_3962	10.69
DAP1_3963	8.32
DAP1_3965	12.63
DAP1_3968	8.8
DAP1_3970	8.5
DAP1_3972	12.5
DAP1_3975	9.46
DAP1_3977	12.74
DAP1_3979	11.55
DAP1_3980	11.34
DAP1_3981	11.51
DAP1_3985	11.53
DAP1_3986	10.97
DAP1_3987	12.3
DAP1_3988	9.8
DAP1_3990	11.22
